"predictor","libsize","direction","rho","ci_lower","ci_upper","p_value","n_nominal","n_eff_clifford","is_pred_to_lst"
"built_density",10,"built_density->LST",0.0226116524155492,-0.0212403313019121,0.0663767996869611,0.312150051247525,2000,89.4143123511111,TRUE
"built_density",20,"built_density->LST",0.0685889161172765,0.0248326382374988,0.112082892148558,0.00214714335138577,2000,89.4143123511111,TRUE
"built_density",30,"built_density->LST",0.12619121175498,0.0828183539305446,0.169086911415679,1.4912779899845e-08,2000,89.4143123511111,TRUE
"built_density",40,"built_density->LST",0.178077510210481,0.135302655842605,0.22018979470857,8.88178419700125e-16,2000,89.4143123511111,TRUE
"built_density",50,"built_density->LST",0.222305021798242,0.180230222970279,0.263567792975081,0,2000,89.4143123511111,TRUE
"built_density",60,"built_density->LST",0.254295414754072,0.212836761764953,0.294840058570974,0,2000,89.4143123511111,TRUE
"built_density",70,"built_density->LST",0.287505860206467,0.246784823534707,0.327213364554864,0,2000,89.4143123511111,TRUE
"built_density",80,"built_density->LST",0.318459687890772,0.278516394346325,0.357303244241288,0,2000,89.4143123511111,TRUE
"built_density",90,"built_density->LST",0.349381707793506,0.31030266517477,0.387281911321333,0,2000,89.4143123511111,TRUE
"built_density",100,"built_density->LST",0.373053325922396,0.334695084719326,0.410177336061049,0,2000,89.4143123511111,TRUE
"built_density",110,"built_density->LST",0.394922294007378,0.357275737379044,0.431287717145622,0,2000,89.4143123511111,TRUE
"built_density",120,"built_density->LST",0.423957462329694,0.387323958151725,0.459254324010534,0,2000,89.4143123511111,TRUE
"built_density",10,"LST->built_density",0.040412567023055,-0.00342443138392999,0.0840945412793551,0.0707758165937935,2000,89.4143123511111,FALSE
"built_density",20,"LST->built_density",0.0892927353128125,0.045640429447799,0.132604681889625,6.36682898660368e-05,2000,89.4143123511111,FALSE
"built_density",30,"LST->built_density",0.131452869771488,0.088129714270463,0.174279654997025,3.61968410800273e-09,2000,89.4143123511111,FALSE
"built_density",40,"LST->built_density",0.17904431342094,0.136282885148211,0.22113981175227,6.66133814775094e-16,2000,89.4143123511111,FALSE
"built_density",50,"LST->built_density",0.22080373510568,0.178702289231011,0.262098073772092,0,2000,89.4143123511111,FALSE
"built_density",60,"LST->built_density",0.254783794934679,0.213335264953246,0.295316803353371,0,2000,89.4143123511111,FALSE
"built_density",70,"LST->built_density",0.286665489350932,0.245924553412574,0.326395324872286,0,2000,89.4143123511111,FALSE
"built_density",80,"LST->built_density",0.313623906735205,0.273553355692435,0.352607742317987,0,2000,89.4143123511111,FALSE
"built_density",90,"LST->built_density",0.348114117638604,0.308997926794328,0.386054565464607,0,2000,89.4143123511111,FALSE
"built_density",100,"LST->built_density",0.377114429158095,0.33888502094733,0.41410057857146,0,2000,89.4143123511111,FALSE
"built_density",110,"LST->built_density",0.394589428454043,0.356931709197422,0.430966696127115,0,2000,89.4143123511111,FALSE
"built_density",120,"LST->built_density",0.409550164107331,0.37240424731976,0.445385988171338,0,2000,89.4143123511111,FALSE
"green_density",10,"green_density->LST",0.0082286423655637,-0.0356151355536913,0.0520408054981447,0.713043072762044,2000,453.809918393044,TRUE
"green_density",20,"green_density->LST",0.0230940477367292,-0.0207578967463399,0.0668573051641059,0.301936661488918,2000,453.809918393044,TRUE
"green_density",30,"green_density->LST",0.0389617166283976,-0.00487754553598836,0.0826515029528554,0.081509664721306,2000,453.809918393044,TRUE
"green_density",40,"green_density->LST",0.0564520182908422,0.0126523920274103,0.100035428808107,0.0115683029952323,2000,453.809918393044,TRUE
"green_density",50,"green_density->LST",0.0780027953138738,0.0342890948681372,0.121418605602543,0.000480260981349678,2000,453.809918393044,TRUE
"green_density",60,"green_density->LST",0.0991554436823271,0.0555660050983149,0.14236763581936,8.89008405047242e-06,2000,453.809918393044,TRUE
"green_density",70,"green_density->LST",0.12277047020133,0.0793666207917883,0.165709695076632,3.63186689611439e-08,2000,453.809918393044,TRUE
"green_density",80,"green_density->LST",0.145899047356397,0.102725030118088,0.188524387032161,5.53321832796883e-11,2000,453.809918393044,TRUE
"green_density",90,"green_density->LST",0.170303400574604,0.127423628858509,0.212547758384064,1.75415237890775e-14,2000,453.809918393044,TRUE
"green_density",100,"green_density->LST",0.195944099294551,0.153430894483208,0.237733280430723,0,2000,453.809918393044,TRUE
"green_density",110,"green_density->LST",0.218979717283289,0.176846169248301,0.260312151704185,0,2000,453.809918393044,TRUE
"green_density",120,"green_density->LST",0.247981296709284,0.206393709203735,0.288674553028647,0,2000,453.809918393044,TRUE
"green_density",10,"LST->green_density",0.00788346048597036,-0.035959897717893,0.0516965299381763,0.724580194273869,2000,453.809918393044,FALSE
"green_density",20,"LST->green_density",0.016307632907935,-0.027542986875521,0.0600956104834839,0.466067705935998,2000,453.809918393044,FALSE
"green_density",30,"LST->green_density",0.024123468007569,-0.0197283244586729,0.0678826246774214,0.280892431906515,2000,453.809918393044,FALSE
"green_density",40,"LST->green_density",0.0378773436761462,-0.00596348954648368,0.0815728491306404,0.0903650932186373,2000,453.809918393044,FALSE
"green_density",50,"LST->green_density",0.0507534210442607,0.00693792229506474,0.0943744112225965,0.0232193657187105,2000,453.809918393044,FALSE
"green_density",60,"LST->green_density",0.0663733255487577,0.0226081646876483,0.109884581442693,0.00298066734875357,2000,453.809918393044,FALSE
"green_density",70,"LST->green_density",0.0868405510267168,0.0431739514979794,0.130175994475458,0.000100846062364157,2000,453.809918393044,FALSE
"green_density",80,"LST->green_density",0.112644843333231,0.069155353391801,0.155706999362778,4.40509888566254e-07,2000,453.809918393044,FALSE
"green_density",90,"LST->green_density",0.142393469330204,0.0991815524184127,0.185069340069634,1.58804080996333e-10,2000,453.809918393044,FALSE
"green_density",100,"LST->green_density",0.171197052009281,0.128329065572101,0.213426490646673,1.28785870856518e-14,2000,453.809918393044,FALSE
"green_density",110,"LST->green_density",0.197393881803565,0.154903164828532,0.239155649822329,0,2000,453.809918393044,FALSE
"green_density",120,"LST->green_density",0.221711618354263,0.179626262659765,0.262986889893862,0,2000,453.809918393044,FALSE
"distance_to_water",10,"distance_to_water->LST",0.149675508922427,0.106543546389885,0.192245232642722,1.72679648358098e-11,2000,53.6393197401312,TRUE
"distance_to_water",20,"distance_to_water->LST",0.220641619716798,0.178537308526356,0.261939355716174,0,2000,53.6393197401312,TRUE
"distance_to_water",30,"distance_to_water->LST",0.260769678478404,0.219446976103165,0.301158436978434,0,2000,53.6393197401312,TRUE
"distance_to_water",40,"distance_to_water->LST",0.301628935991545,0.261251930894588,0.340952248881676,0,2000,53.6393197401312,TRUE
"distance_to_water",50,"distance_to_water->LST",0.350118546637363,0.311061165621939,0.387995294780761,0,2000,53.6393197401312,TRUE
"distance_to_water",60,"distance_to_water->LST",0.38448231734937,0.346490518655022,0.421214845358836,0,2000,53.6393197401312,TRUE
"distance_to_water",70,"distance_to_water->LST",0.407350324598941,0.370127856289731,0.443266928085914,0,2000,53.6393197401312,TRUE
"distance_to_water",80,"distance_to_water->LST",0.429342164282898,0.392905103556549,0.464433176298248,0,2000,53.6393197401312,TRUE
"distance_to_water",90,"distance_to_water->LST",0.460400709331884,0.425149199304926,0.49425762565653,0,2000,53.6393197401312,TRUE
"distance_to_water",100,"distance_to_water->LST",0.496384093060383,0.462618337288769,0.528711853666922,0,2000,53.6393197401312,TRUE
"distance_to_water",110,"distance_to_water->LST",0.532885441077427,0.500750469999832,0.563553529517424,0,2000,53.6393197401312,TRUE
"distance_to_water",120,"distance_to_water->LST",0.57061728461478,0.540299616994047,0.599455424797007,0,2000,53.6393197401312,TRUE
"distance_to_water",10,"LST->distance_to_water",0.0384094365701416,-0.00543063866788197,0.0821021484854186,0.0859276579791182,2000,53.6393197401312,FALSE
"distance_to_water",20,"LST->distance_to_water",0.0716343421842371,0.0278909816477069,0.115103871686261,0.00134733817893862,2000,53.6393197401312,FALSE
"distance_to_water",30,"LST->distance_to_water",0.109462648284777,0.0659481248517415,0.152561613195902,9.24756269782279e-07,2000,53.6393197401312,FALSE
"distance_to_water",40,"LST->distance_to_water",0.147361074967637,0.104203187940156,0.189965028552083,3.53770346350757e-11,2000,53.6393197401312,FALSE
"distance_to_water",50,"LST->distance_to_water",0.188040052704441,0.145407564979853,0.229975533693177,0,2000,53.6393197401312,FALSE
"distance_to_water",60,"LST->distance_to_water",0.238138041162795,0.196356642325584,0.279056237140335,0,2000,53.6393197401312,FALSE
"distance_to_water",70,"LST->distance_to_water",0.293399479053434,0.252819802192333,0.332948700462018,0,2000,53.6393197401312,FALSE
"distance_to_water",80,"LST->distance_to_water",0.349552304899065,0.310478273071186,0.387447081940739,0,2000,53.6393197401312,FALSE
"distance_to_water",90,"LST->distance_to_water",0.394692524829156,0.357038261811892,0.43106612495252,0,2000,53.6393197401312,FALSE
"distance_to_water",100,"LST->distance_to_water",0.433925581955902,0.397657848262088,0.46883948624132,0,2000,53.6393197401312,FALSE
"distance_to_water",110,"LST->distance_to_water",0.476611313191122,0.442014197864744,0.5097925178351,0,2000,53.6393197401312,FALSE
"distance_to_water",120,"LST->distance_to_water",0.519539485966054,0.486793772537594,0.550827040212645,0,2000,53.6393197401312,FALSE
"distance_to_roads",10,"distance_to_roads->LST",0.0129612380295337,-0.0308872417512949,0.0567599251786513,0.562382625666061,2000,567.23398051302,TRUE
"distance_to_roads",20,"distance_to_roads->LST",0.0283191874756585,-0.0155310231476653,0.0720606743439973,0.205536470940228,2000,567.23398051302,TRUE
"distance_to_roads",30,"distance_to_roads->LST",0.0456985874825839,0.0018714032838117,0.0893505499262715,0.0410036731908958,2000,567.23398051302,TRUE
"distance_to_roads",40,"distance_to_roads->LST",0.0625693097074105,0.0187899078470534,0.106109240811977,0.00512328681450214,2000,567.23398051302,TRUE
"distance_to_roads",50,"distance_to_roads->LST",0.0793074214179904,0.0356002394183361,0.122711793355554,0.000385068573092173,2000,567.23398051302,TRUE
"distance_to_roads",60,"distance_to_roads->LST",0.0907414330447999,0.0470978217048675,0.13403925382305,4.82534349721675e-05,2000,567.23398051302,TRUE
"distance_to_roads",70,"distance_to_roads->LST",0.103849008766145,0.0602925155310433,0.147010777909241,3.25630495345841e-06,2000,567.23398051302,TRUE
"distance_to_roads",80,"distance_to_roads->LST",0.12135873897804,0.0779424027651834,0.164315632942667,5.20775131906959e-08,2000,567.23398051302,TRUE
"distance_to_roads",90,"distance_to_roads->LST",0.142503235213647,0.0992924883898852,0.185177539737873,1.53706825045674e-10,2000,567.23398051302,TRUE
"distance_to_roads",100,"distance_to_roads->LST",0.153714892385068,0.110629321154528,0.19622377380742,4.80726569662693e-12,2000,567.23398051302,TRUE
"distance_to_roads",110,"distance_to_roads->LST",0.166266863682208,0.123334749269549,0.208577758438823,7.23865412055602e-14,2000,567.23398051302,TRUE
"distance_to_roads",120,"distance_to_roads->LST",0.178808271634838,0.136043557699713,0.220907875624282,8.88178419700125e-16,2000,567.23398051302,TRUE
"distance_to_roads",10,"LST->distance_to_roads",0.0137174436887941,-0.0301316055307876,0.0575137962551375,0.539804896806197,2000,567.23398051302,FALSE
"distance_to_roads",20,"LST->distance_to_roads",0.0306163499731455,-0.0132323397162681,0.07434751247778,0.171102567204094,2000,567.23398051302,FALSE
"distance_to_roads",30,"LST->distance_to_roads",0.050198043614473,0.00638115095406646,0.0938225453520268,0.0247722030691744,2000,567.23398051302,FALSE
"distance_to_roads",40,"LST->distance_to_roads",0.0700091489940665,0.0262587932003347,0.1134918244484,0.00173152524232845,2000,567.23398051302,FALSE
"distance_to_roads",50,"LST->distance_to_roads",0.0799194728653505,0.0362154007821353,0.123318427832695,0.000346768113001161,2000,567.23398051302,FALSE
"distance_to_roads",60,"LST->distance_to_roads",0.0881323094422546,0.0444731731695381,0.131455440061844,7.92641867970456e-05,2000,567.23398051302,FALSE
"distance_to_roads",70,"LST->distance_to_roads",0.102038756882338,0.0584693256030132,0.145220198881897,4.82174570981542e-06,2000,567.23398051302,FALSE
"distance_to_roads",80,"LST->distance_to_roads",0.11816972470478,0.0747258337152783,0.161165900299177,1.15811614742611e-07,2000,567.23398051302,FALSE
"distance_to_roads",90,"LST->distance_to_roads",0.13638738411992,0.0931130801912096,0.179147376210301,9.11098085865092e-10,2000,567.23398051302,FALSE
"distance_to_roads",100,"LST->distance_to_roads",0.151496479996498,0.108385250565265,0.194038948997612,9.74398339792515e-12,2000,567.23398051302,FALSE
"distance_to_roads",110,"LST->distance_to_roads",0.166472134608794,0.123542646816789,0.208779679403878,6.75015598972095e-14,2000,567.23398051302,FALSE
"distance_to_roads",120,"LST->distance_to_roads",0.179244914304717,0.136486282286375,0.221336919686067,6.66133814775094e-16,2000,567.23398051302,FALSE
"DEM",10,"DEM->LST",0.0491608723371312,0.00534144927367535,0.0927918601512355,0.0279137875769684,2000,123.801662977872,TRUE
"DEM",20,"DEM->LST",0.106631884475532,0.0630958476258917,0.14976285921776,1.75842499827716e-06,2000,123.801662977872,TRUE
"DEM",30,"DEM->LST",0.160740330090277,0.117738915033715,0.203140060040993,4.79172257428218e-13,2000,123.801662977872,TRUE
"DEM",40,"DEM->LST",0.210854779383994,0.168581873953512,0.252353470929348,0,2000,123.801662977872,TRUE
"DEM",50,"DEM->LST",0.269156107011433,0.228015151931602,0.309337670800121,0,2000,123.801662977872,TRUE
"DEM",60,"DEM->LST",0.31574055890808,0.275725446743145,0.354663234983787,0,2000,123.801662977872,TRUE
"DEM",70,"DEM->LST",0.349949911165258,0.310887568210136,0.387832031393338,0,2000,123.801662977872,TRUE
"DEM",80,"DEM->LST",0.37395021536539,0.335620296288845,0.411043897369132,0,2000,123.801662977872,TRUE
"DEM",90,"DEM->LST",0.395105755621848,0.357465355735607,0.431464646610309,0,2000,123.801662977872,TRUE
"DEM",100,"DEM->LST",0.417059119396558,0.380177872545786,0.452616187321483,0,2000,123.801662977872,TRUE
"DEM",110,"DEM->LST",0.445016077485536,0.409166122250707,0.479494249562849,0,2000,123.801662977872,TRUE
"DEM",120,"DEM->LST",0.478429186158832,0.443906981785564,0.511533267494433,0,2000,123.801662977872,TRUE
"DEM",10,"LST->DEM",0.0427154107523402,-0.00111761434962063,0.0863846092656225,0.0561372431174325,2000,123.801662977872,FALSE
"DEM",20,"LST->DEM",0.084964073342746,0.0412868953528349,0.128317145929778,0.000142255320727536,2000,123.801662977872,FALSE
"DEM",30,"LST->DEM",0.120939026868518,0.0775190124610266,0.163901140813884,5.79221928198592e-08,2000,123.801662977872,FALSE
"DEM",40,"LST->DEM",0.158467102368752,0.115437974294341,0.200902613494742,1.02184927186499e-12,2000,123.801662977872,FALSE
"DEM",50,"LST->DEM",0.203182619386734,0.160783574403751,0.244833145474286,0,2000,123.801662977872,FALSE
"DEM",60,"LST->DEM",0.244829546836889,0.2031789493171,0.28559572112878,0,2000,123.801662977872,FALSE
"DEM",70,"LST->DEM",0.282774182198193,0.241941939929451,0.322606645445897,0,2000,123.801662977872,FALSE
"DEM",80,"LST->DEM",0.326466419398158,0.28673852221764,0.365073397187227,0,2000,123.801662977872,FALSE
"DEM",90,"LST->DEM",0.369154647731959,0.330674152669978,0.40640971172234,0,2000,123.801662977872,FALSE
"DEM",100,"LST->DEM",0.406391660740809,0.369135972016809,0.442343341331518,0,2000,123.801662977872,FALSE
"DEM",110,"LST->DEM",0.446926460121551,0.411149621105351,0.481328549816947,0,2000,123.801662977872,FALSE
"DEM",120,"LST->DEM",0.486615136136517,0.45243407729577,0.519368563035468,0,2000,123.801662977872,FALSE
"NDBI",10,"NDBI->LST",0.00825085792348122,-0.0355929466507937,0.0520629623695674,0.7123027640178,2000,94.771568528492,TRUE
"NDBI",20,"NDBI->LST",0.040085057025334,-0.00375246857370712,0.0837688107618074,0.0730916738059895,2000,94.771568528492,TRUE
"NDBI",30,"NDBI->LST",0.0840995914329752,0.0404176448397785,0.127460683153038,0.000166303517904698,2000,94.771568528492,TRUE
"NDBI",40,"NDBI->LST",0.144761328569679,0.101574891053979,0.187403183506317,7.8127060376687e-11,2000,94.771568528492,TRUE
"NDBI",50,"NDBI->LST",0.216142067366447,0.173959173204686,0.257533205516629,0,2000,94.771568528492,TRUE
"NDBI",60,"NDBI->LST",0.279058271173815,0.238140121877152,0.318987544574861,0,2000,94.771568528492,TRUE
"NDBI",70,"NDBI->LST",0.329157913746968,0.289503737904491,0.367684157353254,0,2000,94.771568528492,TRUE
"NDBI",80,"NDBI->LST",0.364360965351126,0.325732065300249,0.401775431481269,0,2000,94.771568528492,TRUE
"NDBI",90,"NDBI->LST",0.404048034903726,0.366711490219164,0.440085146646144,0,2000,94.771568528492,TRUE
"NDBI",100,"NDBI->LST",0.430681556073236,0.394293775751859,0.465720992378434,0,2000,94.771568528492,TRUE
"NDBI",110,"NDBI->LST",0.45335490884437,0.417826595305075,0.487498768820351,0,2000,94.771568528492,TRUE
"NDBI",120,"NDBI->LST",0.472167929950177,0.437389008089625,0.505536501227681,0,2000,94.771568528492,TRUE
"NDBI",10,"LST->NDBI",0.00665225435157168,-0.0371895218065787,0.0504684716730155,0.766225909850656,2000,94.771568528492,FALSE
"NDBI",20,"LST->NDBI",0.0262286335458501,-0.0176225584376437,0.0699791164127015,0.241017028854448,2000,94.771568528492,FALSE
"NDBI",30,"LST->NDBI",0.0621854720829362,0.0184047041725698,0.105728226874824,0.00540295570912774,2000,94.771568528492,FALSE
"NDBI",40,"LST->NDBI",0.11062486886816,0.0671193841040673,0.15371049143512,7.07003380284732e-07,2000,94.771568528492,FALSE
"NDBI",50,"LST->NDBI",0.15698422691438,0.113937269860186,0.199442840226225,1.66533453693773e-12,2000,94.771568528492,FALSE
"NDBI",60,"LST->NDBI",0.204483477584744,0.162105447687666,0.246108612190612,0,2000,94.771568528492,FALSE
"NDBI",70,"LST->NDBI",0.238519895362045,0.196745851962401,0.279429518282016,0,2000,94.771568528492,FALSE
"NDBI",80,"LST->NDBI",0.284097302237413,0.2432959515399,0.323895013290965,0,2000,94.771568528492,FALSE
"NDBI",90,"LST->NDBI",0.344175993245254,0.304945330084695,0.382240614163853,0,2000,94.771568528492,FALSE
"NDBI",100,"LST->NDBI",0.389140112842254,0.35130110323012,0.425709976871135,0,2000,94.771568528492,FALSE
"NDBI",110,"LST->NDBI",0.421383484336739,0.384657025055063,0.456777897704656,0,2000,94.771568528492,FALSE
"NDBI",120,"LST->NDBI",0.445393835986652,0.409558311859141,0.47985698745536,0,2000,94.771568528492,FALSE
"BSI",10,"BSI->LST",-0.003931506969016,-0.0477542105276961,0.0399063023910094,0.860519346906829,2000,158.797760223067,TRUE
"BSI",20,"BSI->LST",0.0192374798380032,-0.0246142074215118,0.0630152782059069,0.389861831284843,2000,158.797760223067,TRUE
"BSI",30,"BSI->LST",0.050977677424902,0.0071627492241841,0.0945972420695252,0.0226166978110627,2000,158.797760223067,TRUE
"BSI",40,"BSI->LST",0.0952274332405827,0.0516119239808476,0.138480361701621,1.99245488878841e-05,2000,158.797760223067,TRUE
"BSI",50,"BSI->LST",0.151161628983246,0.108046564818777,0.193709131088214,1.08308917390332e-11,2000,158.797760223067,TRUE
"BSI",60,"BSI->LST",0.203448442467519,0.161053679434986,0.245093791667701,0,2000,158.797760223067,TRUE
"BSI",70,"BSI->LST",0.252237178413379,0.210736100002645,0.292830636801356,0,2000,158.797760223067,TRUE
"BSI",80,"BSI->LST",0.292143085877534,0.25153300925194,0.331726295181865,0,2000,158.797760223067,TRUE
"BSI",90,"BSI->LST",0.337766591070284,0.298352657552654,0.376030532797289,0,2000,158.797760223067,TRUE
"BSI",100,"BSI->LST",0.36985258514377,0.33139387319442,0.40708428112045,0,2000,158.797760223067,TRUE
"BSI",110,"BSI->LST",0.39533021223261,0.357697349050188,0.431681107640319,0,2000,158.797760223067,TRUE
"BSI",120,"BSI->LST",0.416108618278117,0.379193580768224,0.451701230185266,0,2000,158.797760223067,TRUE
"BSI",10,"LST->BSI",-0.0062399070081305,-0.0500571489721078,0.0376013096270026,0.780332789548011,2000,158.797760223067,FALSE
"BSI",20,"LST->BSI",0.0041345049682786,-0.0397036227322817,0.0479567469260087,0.853396985767981,2000,158.797760223067,FALSE
"BSI",30,"LST->BSI",0.0384586483153297,-0.00538135556109373,0.0821511006189889,0.0855262990825603,2000,158.797760223067,FALSE
"BSI",40,"LST->BSI",0.0816523407474537,0.037957253253131,0.125035783044128,0.000256755563571964,2000,158.797760223067,FALSE
"BSI",50,"LST->BSI",0.131471740792792,0.0881487679844705,0.174298274569792,3.60098240115292e-09,2000,158.797760223067,FALSE
"BSI",60,"LST->BSI",0.181536995048398,0.138810569194642,0.223588845599406,4.44089209850063e-16,2000,158.797760223067,FALSE
"BSI",70,"LST->BSI",0.224357008960922,0.182318960308415,0.265576323276769,0,2000,158.797760223067,FALSE
"BSI",80,"LST->BSI",0.275695582797069,0.234700773010297,0.315711459887625,0,2000,158.797760223067,FALSE
"BSI",90,"LST->BSI",0.329851939581732,0.290216880803988,0.368357266684636,0,2000,158.797760223067,FALSE
"BSI",100,"LST->BSI",0.368723663425964,0.330229739396357,0.405993137147134,0,2000,158.797760223067,FALSE
"BSI",110,"LST->BSI",0.399255244861795,0.361754925652923,0.435465646378709,0,2000,158.797760223067,FALSE
"BSI",120,"LST->BSI",0.42291218608238,0.386240859484388,0.45824872904619,0,2000,158.797760223067,FALSE
"NDVI",10,"NDVI->LST",0.0108228013838221,-0.0330237968710345,0.0546278200362749,0.628583202892974,2000,661.59252604112,TRUE
"NDVI",20,"NDVI->LST",0.0288379451307559,-0.015011962541747,0.0725771406996209,0.197351528857771,2000,661.59252604112,TRUE
"NDVI",30,"NDVI->LST",0.0467174815475266,0.0028924717359388,0.0903633797360998,0.0366983827142655,2000,661.59252604112,TRUE
"NDVI",40,"NDVI->LST",0.0695906823117419,0.0258385630886859,0.113076705614357,0.0018455701883453,2000,661.59252604112,TRUE
"NDVI",50,"NDVI->LST",0.103192387353626,0.0596311675910768,0.146361325002824,3.75741318547895e-06,2000,661.59252604112,TRUE
"NDVI",60,"NDVI->LST",0.134841681068803,0.0915518414753037,0.177622820806602,1.411157857234e-09,2000,661.59252604112,TRUE
"NDVI",70,"NDVI->LST",0.170192094139361,0.12731085954328,0.212438305382274,1.82076576038526e-14,2000,661.59252604112,TRUE
"NDVI",80,"NDVI->LST",0.203478531831938,0.161084253887184,0.245123294664407,0,2000,661.59252604112,TRUE
"NDVI",90,"NDVI->LST",0.234038024391936,0.192178478741595,0.275047491022774,0,2000,661.59252604112,TRUE
"NDVI",100,"NDVI->LST",0.262201182658908,0.220909052243332,0.302554995247628,0,2000,661.59252604112,TRUE
"NDVI",110,"NDVI->LST",0.284051958389562,0.243249546394078,0.323850862856997,0,2000,661.59252604112,TRUE
"NDVI",120,"NDVI->LST",0.306400514521981,0.266143845908566,0.345590232439739,0,2000,661.59252604112,TRUE
"NDVI",10,"LST->NDVI",0.000768305777505399,-0.0430640770708167,0.0445977365652695,0.972607461223406,2000,661.59252604112,FALSE
"NDVI",20,"LST->NDVI",0.00782435487289835,-0.0360189304164984,0.0516375784702675,0.726562067491451,2000,661.59252604112,FALSE
"NDVI",30,"LST->NDVI",0.0151795997967847,-0.0286704082999202,0.0589712967106235,0.497475625930933,2000,661.59252604112,FALSE
"NDVI",40,"LST->NDVI",0.0269760900404586,-0.0168747951425391,0.0707234002397639,0.227866602543156,2000,661.59252604112,FALSE
"NDVI",50,"LST->NDVI",0.0448853662294369,0.00105651213557416,0.0885421040162831,0.0447399516561431,2000,661.59252604112,FALSE
"NDVI",60,"LST->NDVI",0.0655002701633129,0.0217317279639354,0.109018218266944,0.00338332975747946,2000,661.59252604112,FALSE
"NDVI",70,"LST->NDVI",0.090962832801961,0.0473205665874074,0.134258478795284,4.62350828120961e-05,2000,661.59252604112,FALSE
"NDVI",80,"LST->NDVI",0.119261853496985,0.0758272973049778,0.162244675094763,8.8285573074387e-08,2000,661.59252604112,FALSE
"NDVI",90,"LST->NDVI",0.143012408452393,0.0998071033883049,0.185679434210978,1.32076793946112e-10,2000,661.59252604112,FALSE
"NDVI",100,"LST->NDVI",0.160320723018179,0.117314157762414,0.20272709101021,5.51558798633778e-13,2000,661.59252604112,FALSE
"NDVI",110,"LST->NDVI",0.175994104466798,0.133190602231408,0.218142290589759,2.22044604925031e-15,2000,661.59252604112,FALSE
"NDVI",120,"LST->NDVI",0.190031826581279,0.147428869119467,0.231930943266846,0,2000,661.59252604112,FALSE
