"predictor","libsize","direction","rho","ci_lower","ci_upper","p_value","n_eff","is_pred_to_lst"
"DEM",10,"DEM->LST",0.0217533343060006,-0.19467862270489,0.236165381592742,0.845112842454397,83.1303711891032,TRUE
"DEM",20,"DEM->LST",0.051266321059198,-0.166088017940585,0.263870104702619,0.645049316499975,83.1303711891032,TRUE
"DEM",30,"DEM->LST",0.0976710600839237,-0.120382237837744,0.306733572811602,0.379322810198921,83.1303711891032,TRUE
"DEM",40,"DEM->LST",0.153725548205417,-0.0639111322635527,0.357403724010099,0.164938398065836,83.1303711891032,TRUE
"DEM",50,"DEM->LST",0.215729294740915,0.000220284032594642,0.412088958916205,0.0499611750272861,83.1303711891032,TRUE
"DEM",60,"DEM->LST",0.283448613355662,0.072349066387227,0.470241457929189,0.00935592990334055,83.1303711891032,TRUE
"DEM",70,"DEM->LST",0.350354824446628,0.145848317243995,0.526145753044916,0.0011553641329507,83.1303711891032,TRUE
"DEM",80,"DEM->LST",0.411427461403299,0.214969686842359,0.575882869536378,0.000110111367769061,83.1303711891032,TRUE
"DEM",90,"DEM->LST",0.472577466864651,0.28620840989954,0.624492449213462,6.3440347517485e-06,83.1303711891032,TRUE
"DEM",100,"DEM->LST",0.531966630705794,0.357425920623276,0.670602000544333,2.22403860661302e-07,83.1303711891032,TRUE
"DEM",110,"DEM->LST",0.599768021964387,0.441290690642998,0.721964960492216,2.01596694893169e-09,83.1303711891032,TRUE
"DEM",120,"DEM->LST",0.671620419903912,0.533293934259295,0.77496562211261,3.5162983635928e-12,83.1303711891032,TRUE
"DEM",10,"LST->DEM",0.0157162173946536,-0.200482097579774,0.230454885276888,0.887764923953485,83.1303711891032,FALSE
"DEM",20,"LST->DEM",0.0516928885694373,-0.165672085661343,0.264267981041917,0.64229772907078,83.1303711891032,FALSE
"DEM",30,"LST->DEM",0.0993717253135874,-0.118689442045235,0.308288510820437,0.37103936444903,83.1303711891032,FALSE
"DEM",40,"LST->DEM",0.148088541324304,-0.0696537764023232,0.352361837524483,0.181173267468451,83.1303711891032,FALSE
"DEM",50,"LST->DEM",0.202849419356551,-0.0132490547810252,0.400844567068656,0.0656685830071884,83.1303711891032,FALSE
"DEM",60,"LST->DEM",0.261033915413623,0.0482278576884056,0.451171250497353,0.017056925641354,83.1303711891032,FALSE
"DEM",70,"LST->DEM",0.321772336713163,0.11417060233187,0.50244777396098,0.00299015574088823,83.1303711891032,FALSE
"DEM",80,"LST->DEM",0.389280039386559,0.189673925218345,0.557985768465709,0.000272368091927877,83.1303711891032,FALSE
"DEM",90,"LST->DEM",0.447373483654857,0.256594452034188,0.604598774160714,2.19864476664888e-05,83.1303711891032,FALSE
"DEM",100,"LST->DEM",0.500452572259754,0.319380830409671,0.646267269714388,1.42360685773113e-06,83.1303711891032,FALSE
"DEM",110,"LST->DEM",0.549975566679639,0.379430311527654,0.68437556269688,7.05281080204401e-08,83.1303711891032,FALSE
"DEM",120,"LST->DEM",0.596811807267273,0.437575449509193,0.71975321010686,2.53256349225239e-09,83.1303711891032,FALSE
"BSI",10,"BSI->LST",0.00787249183622574,-0.158582306389749,0.173892154101417,0.926601902624062,139.42303012463,TRUE
"BSI",20,"BSI->LST",0.0260774511178577,-0.140780122438911,0.191494512950736,0.760216931805516,139.42303012463,TRUE
"BSI",30,"BSI->LST",0.0645851944995797,-0.10276545848276,0.228380298761498,0.449331003455552,139.42303012463,TRUE
"BSI",40,"BSI->LST",0.109768825697398,-0.0575282425557835,0.27106939283003,0.197623642919262,139.42303012463,TRUE
"BSI",50,"BSI->LST",0.162047948427385,-0.00431556177501678,0.319682930938773,0.0562837243277232,139.42303012463,TRUE
"BSI",60,"BSI->LST",0.220551525191684,0.0563711870294201,0.373117998079962,0.0089742977500773,139.42303012463,TRUE
"BSI",70,"BSI->LST",0.276179492137991,0.115222582225888,0.423004861617944,0.000980546628025047,139.42303012463,TRUE
"BSI",80,"BSI->LST",0.344980016534795,0.189607110640316,0.48349771477276,3.10840430157722e-05,139.42303012463,TRUE
"BSI",90,"BSI->LST",0.422801933756435,0.275951200488204,0.550364266389745,2.06889573917124e-07,139.42303012463,TRUE
"BSI",100,"BSI->LST",0.492936867376475,0.355851428918099,0.609255957270244,6.6546412824664e-10,139.42303012463,TRUE
"BSI",110,"BSI->LST",0.551947369571185,0.424667496231765,0.657832119624856,1.7421619702418e-12,139.42303012463,TRUE
"BSI",120,"BSI->LST",0.607468103262963,0.490785203486365,0.702745185457816,1.99840144432528e-15,139.42303012463,TRUE
"BSI",10,"LST->BSI",0.00654572585327975,-0.15987550094979,0.172605144254212,0.938945491814501,139.42303012463,FALSE
"BSI",20,"LST->BSI",0.0245161590914016,-0.142311113433186,0.189989061172641,0.774175285747057,139.42303012463,FALSE
"BSI",30,"LST->BSI",0.0707736699603167,-0.0966102885894601,0.234264578670558,0.406994023734326,139.42303012463,FALSE
"BSI",40,"LST->BSI",0.136332148127851,-0.0306088454541042,0.295873470762119,0.108983963561065,139.42303012463,FALSE
"BSI",50,"LST->BSI",0.206170866990233,0.0413405805636934,0.360076375844483,0.0147378062979406,139.42303012463,FALSE
"BSI",60,"LST->BSI",0.262915241286741,0.101086370062798,0.411189820770885,0.00173751646746734,139.42303012463,FALSE
"BSI",70,"LST->BSI",0.31587496388509,0.157920656757633,0.458067553837048,0.000148359543670429,139.42303012463,FALSE
"BSI",80,"LST->BSI",0.38579889780552,0.234598317068362,0.51877307630785,2.63268929323601e-06,139.42303012463,FALSE
"BSI",90,"LST->BSI",0.473686110967882,0.333718895688551,0.593218025926196,3.66541597074388e-09,139.42303012463,FALSE
"BSI",100,"LST->BSI",0.543900970607343,0.415196649834933,0.65125996486239,4.19975165755204e-12,139.42303012463,FALSE
"BSI",110,"LST->BSI",0.59826748383022,0.47973481472823,0.695354544869455,6.66133814775094e-15,139.42303012463,FALSE
"BSI",120,"LST->BSI",0.645081338501542,0.536354336591149,0.732746640945156,0,139.42303012463,FALSE
"built_density",10,"built_density->LST",0.03679388104875,-0.189227422127032,0.259112479268209,0.751248361949722,76.6729927387354,TRUE
"built_density",20,"built_density->LST",0.0793552536640835,-0.147734722413458,0.298496967116785,0.493643219073745,76.6729927387354,TRUE
"built_density",30,"built_density->LST",0.136862657446923,-0.0903721033271322,0.350552226776831,0.236290910611126,76.6729927387354,TRUE
"built_density",40,"built_density->LST",0.19982769950349,-0.0257874776253496,0.406072640999071,0.0821064192034835,76.6729927387354,TRUE
"built_density",50,"built_density->LST",0.249642638679566,0.0266790533830473,0.448944807427035,0.028906539803661,76.6729927387354,TRUE
"built_density",60,"built_density->LST",0.296662076890963,0.0773544502763276,0.488586449827138,0.00894558954226499,76.6729927387354,TRUE
"built_density",70,"built_density->LST",0.344139548074036,0.129699676433589,0.527826119794973,0.00222910629117723,76.6729927387354,TRUE
"built_density",80,"built_density->LST",0.403278686371976,0.196617876474181,0.575631438289544,0.000284945678918458,76.6729927387354,TRUE
"built_density",90,"built_density->LST",0.463662911937207,0.266990956814046,0.623257142185842,2.26018288622676e-05,76.6729927387354,TRUE
"built_density",100,"built_density->LST",0.518918619756897,0.333278997315185,0.665824740375957,1.40472484821963e-06,76.6729927387354,TRUE
"built_density",110,"built_density->LST",0.572842354770105,0.399788351900579,0.706464178245303,5.57103723153318e-08,76.6729927387354,TRUE
"built_density",120,"built_density->LST",0.629197151694296,0.471299641814092,0.748014579481285,9.64986757168163e-10,76.6729927387354,TRUE
"built_density",10,"LST->built_density",0.0465393289273349,-0.179797392064096,0.268196241499049,0.688393463817214,76.6729927387354,FALSE
"built_density",20,"LST->built_density",0.0915271269553381,-0.135719633805695,0.309624713658038,0.429565656445483,76.6729927387354,FALSE
"built_density",30,"LST->built_density",0.137108336829122,-0.0901237648491006,0.350771817093175,0.235442713138016,76.6729927387354,FALSE
"built_density",40,"LST->built_density",0.193219546257683,-0.0326552345043295,0.400316442614899,0.0929631705878635,76.6729927387354,FALSE
"built_density",50,"LST->built_density",0.248065520609458,0.0249989416619021,0.447601415379765,0.0299684768048634,76.6729927387354,FALSE
"built_density",60,"LST->built_density",0.302657711209521,0.0838987683860358,0.493584987364553,0.00759520587588991,76.6729927387354,FALSE
"built_density",70,"LST->built_density",0.358482201150471,0.145751473724583,0.539527945707154,0.00140171520335652,76.6729927387354,FALSE
"built_density",80,"LST->built_density",0.427172298326768,0.2242117426274,0.594617442006689,0.000110629388732075,76.6729927387354,FALSE
"built_density",90,"LST->built_density",0.500863753531995,0.311415536027251,0.652020132118222,3.67415725754938e-06,76.6729927387354,FALSE
"built_density",100,"LST->built_density",0.565698942804797,0.390871721779373,0.701130730394894,8.83299158260797e-08,76.6729927387354,FALSE
"built_density",110,"LST->built_density",0.619274504620545,0.458555908025649,0.740765552717336,2.09002570805694e-09,76.6729927387354,FALSE
"built_density",120,"LST->built_density",0.672319645817816,0.527458805206249,0.779191968488869,2.37838637673349e-11,76.6729927387354,FALSE
